BAND PASS 13.4MHz - 14.5MHz
butterworth, order 3
direct coupled, series capacitor

L: E24 series
C: E12 series

L: 330nH	4 turns on K155 coil kit
C1: 82pF
C2: 270pF
C3: 22pF
C4: 330pF
C5: 22pF
C6: 270pF
C7: 82pF


  Freq    S21     S11     S22
13215339  -22.67  -0.02   -0.02
13456388  -15.68  -0.12   -0.12
13701834  -6.71   -1.04   -1.04
13951757  -0.06   -18.43  -18.43
14206239  -0.55   -9.22   -9.22
14465362  -0.39   -10.66  -10.66
14729212  -0.33   -11.41  -11.41
14997875  -1.86   -4.58   -4.58
15271438  -6.94   -0.98   -0.98
15549991  -12.85  -0.23   -0.23
15833625  -17.86  -0.07   -0.07
16122432  -21.96  -0.03   -0.03
