BAND PASS 20MHz - 22MHz
chebyshev, order 3
direct coupled, series capacitor

L: E24 series
C: E12 series

L : 330nH	4 turns on K155 coil kit
C1: 56pF
C2: 120pF
C3: 18pF
C4: 150pF
C5: 18pF
C6: 120pF
C7: 56pF


  Freq     S21     S11     S22
18791289  -20.80  -0.04   -0.04
19141903  -15.49  -0.12   -0.12
19499058  -9.23   -0.55   -0.55
19862878  -2.78   -3.26   -3.26
20233485  -0.05   -19.10  -19.10
20611008  -0.08   -17.46  -17.46
20995575  -0.02   -23.11  -23.11
21387316  -0.04   -20.70  -20.70
21786368  -0.15   -14.58  -14.58
22192864  -0.04   -20.03  -20.03
22606946  -0.29   -11.88  -11.88
23028753  -2.84   -3.19   -3.19
23458431  -7.08   -0.95   -0.95
23896125  -11.17  -0.34   -0.34
24341986  -14.67  -0.15   -0.15
24796167  -17.64  -0.08   -0.08
25258821  -20.17  -0.04   -0.04
