BAND PASS 27MHz - 30.2MHz
butterworth, order 3
direct coupled, series capacitor

L: E24 series
C: E12 series

L : 330nH	4 turns on K155 coil kit
C1: 39pF
C2: 56pF
C3: 8.2pF
C4: 82pF
C5: 8.2pF
C6: 56pF
C7: 39pF


  Freq     S21     S11     S22
26500637  -15.89  -0.11   -0.11
27006369  -10.21  -0.43   -0.43
27521752  -4.49   -1.91   -1.91
28046971  -0.92   -7.19   -7.19
28582213  -0.09   -16.90  -16.90
29127669  -0.01   -27.07  -27.07
29683535  -0.00   -31.40  -31.40
30250009  -0.22   -13.04  -13.04
30827293  -1.63   -5.04   -5.04
31415594  -4.91   -1.70   -1.70
32015122  -8.88   -0.60   -0.60
32626091  -12.60  -0.25   -0.25
33248719  -15.83  -0.11   -0.11
33883230  -18.63  -0.06   -0.06
34529850  -21.05  -0.03   -0.03
